INFO   | jvm 1    | 2016/05/14 11:22:40 | [2016-05-14 11:22:40,062][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
INFO   | jvm 1    | 2016/05/14 11:22:40 | [2016-05-14 11:22:40,218][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
INFO   | jvm 1    | 2016/05/14 11:22:40 | [2016-05-14 11:22:40,218][INFO][web.core] #'web.config/env started
INFO   | jvm 1    | 2016/05/14 11:22:40 | [2016-05-14 11:22:40,218][INFO][web.core] #'web.handler/init-app started
INFO   | jvm 1    | 2016/05/14 11:22:40 | [2016-05-14 11:22:40,218][INFO][web.core] #'web.core/http-server started
INFO   | jvm 1    | 2016/05/14 11:22:40 | [2016-05-14 11:22:40,218][INFO][web.core] #'web.core/repl-server started
INFO   | jvm 1    | 2016/05/14 11:22:40 | [2016-05-14 11:22:40,218][INFO][web.core] #'web.core/log started
STATUS | wrapper  | 2016/05/14 11:22:58 | CTRL-C trapped.  Shutting down.
INFO   | jvm 1    | 2016/05/14 11:22:59 | [2016-05-14 11:22:59,812][INFO][luminus.http-server] HTTP server stopped
INFO   | jvm 1    | 2016/05/14 11:22:59 | [2016-05-14 11:22:59,812][INFO][web.env] 
INFO   | jvm 1    | 2016/05/14 11:22:59 | -=[web has shutdown successfully]=-
INFO   | jvm 1    | 2016/05/14 11:22:59 | [2016-05-14 11:22:59,812][INFO][web.core] #'web.core/repl-server stopped
INFO   | jvm 1    | 2016/05/14 11:22:59 | [2016-05-14 11:22:59,812][INFO][web.core] #'web.core/http-server stopped
INFO   | jvm 1    | 2016/05/14 11:22:59 | [2016-05-14 11:22:59,812][INFO][web.core] #'web.handler/init-app stopped
STATUS | wrapper  | 2016/05/14 11:23:00 | <-- Wrapper Stopped
WARN   | wrapper  | 2016/05/14 11:24:03 | Unable to write to the configured log directory: ..\logs (系统找不到指定的路径。 (0x3))
WARN   | wrapper  | 2016/05/14 11:24:03 |   The directory does not exist.
WARN   | wrapper  | 2016/05/14 11:24:03 | Unable to write to the configured log file: ..\logs\wrapper.log (系统找不到指定的路径。 (0x3))
WARN   | wrapper  | 2016/05/14 11:24:03 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2016/05/14 11:24:03 | --> Wrapper Started as Console
STATUS | wrapper  | 2016/05/14 11:24:03 | Java Service Wrapper Community Edition 32-bit 3.5.29
STATUS | wrapper  | 2016/05/14 11:24:03 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/05/14 11:24:03 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2016/05/14 11:24:03 | 
STATUS | wrapper  | 2016/05/14 11:24:04 | Launching a JVM...
INFO   | jvm 1    | 2016/05/14 11:24:04 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/05/14 11:24:08 | [2016-05-14 11:24:08,609][INFO][web.env] 
INFO   | jvm 1    | 2016/05/14 11:24:08 | -=[web started successfully]=-
INFO   | jvm 1    | 2016/05/14 11:24:11 | [2016-05-14 11:24:11,109][INFO][luminus.http-server] starting HTTP server on port 3000
INFO   | jvm 1    | 2016/05/14 11:24:11 | [2016-05-14 11:24:11,156][INFO][org.xnio] XNIO version 3.4.0.Beta1
INFO   | jvm 1    | 2016/05/14 11:24:11 | [2016-05-14 11:24:11,171][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
INFO   | jvm 1    | 2016/05/14 11:24:11 | [2016-05-14 11:24:11,312][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
INFO   | jvm 1    | 2016/05/14 11:24:11 | [2016-05-14 11:24:11,312][INFO][web.core] #'web.config/env started
INFO   | jvm 1    | 2016/05/14 11:24:11 | [2016-05-14 11:24:11,312][INFO][web.core] #'web.handler/init-app started
INFO   | jvm 1    | 2016/05/14 11:24:11 | [2016-05-14 11:24:11,312][INFO][web.core] #'web.core/http-server started
INFO   | jvm 1    | 2016/05/14 11:24:11 | [2016-05-14 11:24:11,312][INFO][web.core] #'web.core/repl-server started
INFO   | jvm 1    | 2016/05/14 11:24:11 | [2016-05-14 11:24:11,312][INFO][web.core] #'web.core/log started
STATUS | wrapper  | 2016/05/14 11:24:24 | CTRL-C trapped.  Shutting down.
INFO   | jvm 1    | 2016/05/14 11:24:24 | [2016-05-14 11:24:24,562][INFO][luminus.http-server] HTTP server stopped
INFO   | jvm 1    | 2016/05/14 11:24:24 | [2016-05-14 11:24:24,562][INFO][web.env] 
INFO   | jvm 1    | 2016/05/14 11:24:24 | -=[web has shutdown successfully]=-
INFO   | jvm 1    | 2016/05/14 11:24:24 | [2016-05-14 11:24:24,562][INFO][web.core] #'web.core/repl-server stopped
INFO   | jvm 1    | 2016/05/14 11:24:24 | [2016-05-14 11:24:24,562][INFO][web.core] #'web.core/http-server stopped
INFO   | jvm 1    | 2016/05/14 11:24:24 | [2016-05-14 11:24:24,562][INFO][web.core] #'web.handler/init-app stopped
STATUS | wrapper  | 2016/05/14 11:24:24 | <-- Wrapper Stopped
